ITC;International Test Conference;A4
"2162237X";IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS;A1
"19390114";SECURITY AND COMMUNICATION NETWORKS;A2
USENIXATC;USENIX Annual Technical Conference;A1
"18695450";SOCIAL NETWORK ANALYSIS AND MINING;A2
"2525376X";REVISTA DE GRADUAÇÃO DA USP;nulo
"09424962";MULTIMEDIA SYSTEMS;A2
"00985589";IEEE TRANSACTIONS ON SOFTWARE ENGINEERING;A1
ICPC;International Conference on Program Comprehension;A3
"20054246";INTERNATIONAL JOURNAL OF U- AND E-SERVICE, SCIENCE AND TECHNOLOGY;nulo
"00220000";JOURNAL OF COMPUTER AND SYSTEM SCIENCES (PRINT);A2
"09345043";FORMAL ASPECTS OF COMPUTING;A3
"15516857";ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS;A2
"16467078";REVISTA DA ASSOCIAÇÃO PORTUGUESA DE ANÁLISE EXPERIMENTAL DE TENSÕES;nulo
"21654069";INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN ARTIFICIAL INTELLIGENCE (ONLINE);nulo
FUSION;International Conference on Information Fusion;A2
"00903973";JOURNAL OF TESTING AND EVALUATION;B2
"19801726";HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA MÉDICA E DA SAÚDE (UBERLÂNDIA);nulo
"22360972";REVISTA DE GESTÃO E PROJETOS;nulo
IEEECLOUD;IEEE International Conference on Cloud Computing;A2
"21508097";PROCEEDINGS OF THE VLDB ENDOWNMENT;A1
"00338419";RADIOLOGY;A1
CMSB;International Conference on Computational Methods in Systems Biology;B1
ARGMAS;International Workshop on Argumentation in Multiagent Systems;B4
"02698811";JOURNAL OF PSYCHOPHARMACOLOGY (OXFORD);A1
LSFA;Workshop on Logical and Semantic Frameworks, with Applications;B4
"18690238";JOURNAL OF INTERNET SERVICES AND APPLICATIONS (JISA);A2
"00906778";IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT);A1
"18926753";TECNO-LÓGICA (SANTA CRUZ DO SUL . ONLINE);nulo
"03601315";COMPUTERS AND EDUCATION;A1
MCDM;International Conference on Multiple Criteria Decision Making;B4
CAD;International CAD Conference;B2
FPL;International Conference on Field-Programmable Logic and Applications;A2
"09254773";MECHANISMS OF DEVELOPMENT;A3
ICPE;International Conference on Performance Engineering;A3
"0144929X";BEHAVIOUR & INFORMATION TECHNOLOGY (PRINT);A1
WDES;Workshop de Desenvolvimento Distribuído de Software;B4
"01035053";JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO);A4
"03625915";ACM TRANSACTIONS ON DATABASE SYSTEMS;A2
ICALT;IEEE International Conference on Advanced Learning Technologies;A3
"1942390X";INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION;B2
"01674412";PLANT MOLECULAR BIOLOGY;A1
"15361233";IEEE TRANSACTIONS ON MOBILE COMPUTING;A1
"19328540";IEEE-RITA;A3
"16782690";ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE);A2
"07338716";IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (PRINT);A1
"17425255";EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY;A1
"0305215X";ENGINEERING OPTIMIZATION;A2
"10706631";PHYSICS OF FLUIDS (1994);A1
"21791074";JOURNAL OF MICROWAVES, OPTOELECTRONICS AND ELECTROMAGNETIC APPLICATIONS;B2
"17518814";IET SOFTWARE (ONLINE);nulo
"17980461";JOURNAL OF EMERGING TECHNOLOGIES IN WEB INTELLIGENCE;nulo
BMVC;British Machine Vision Conference;A1
"0921030X";NATURAL HAZARDS (DORDRECHT);A2
"18075762";INTERFACE (UNI/UNESP);B1
CISRC;Cyber Security and Information Intelligence Research Workshop;B2
LoPaS;Location Privacy and Security Workshop;B4
"10577149";IEEE TRANSACTIONS ON IMAGE PROCESSING;A1
"03610926";COMMUNICATIONS IN STATISTICS. THEORY AND METHODS;B2
LICS;IEEE Symposium on Logic in Computer Science;A3
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;A4
NETSOFT;IEEE Conference on Network Softwarization;A3
"22363297";SBC JOURNAL ON 3D INTERACTIVE SYSTEMS;B2
"03019322";INTERNATIONAL JOURNAL OF MULTIPHASE FLOW;A1
"00219606";THE JOURNAL OF CHEMICAL PHYSICS;A2
"15729397";JOURNAL OF HEURISTICS (DORDRECHT. ONLINE);A3
"16153375";FOUNDATIONS OF COMPUTATIONAL MATHEMATICS (PRINT);A1
"19849001";REVISTA BRASILEIRA DE FÍSICA MÉDICA (ONLINE);nulo
RESER;International Workshop on Replication in Empirical Software Engineering Research;B3
"0301679X";TRIBOLOGY INTERNATIONAL;A1
"00380644";SOFTWARE, PRACTICE & EXPERIENCE (PRINT);A3
WMNC;Joint IFIP Wireless and Mobile Networking Conference;A4
